lot_id,wafer_id,site_id,die_x,die_y,radius_norm,theta_deg,zone,thickness_nm,sheet_resistance_ohm_sq,synthetic_pattern_note
LOT-ETCH-GRAD,WAFER-ETCH-003,X-12_Y+00,-12,0,1.0,180.0,edge,87.0996,60.1206,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y-04,-11,-4,0.97539,-160.017,edge,85.7356,59.8857,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y-03,-11,-3,0.95015,-164.745,edge,85.7308,60.4642,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y-02,-11,-2,0.93169,-169.695,edge,84.8907,60.5862,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y-01,-11,-1,0.92045,-174.806,edge,85.6364,60.0285,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y+00,-11,0,0.91667,180.0,edge,85.5805,60.4603,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y+01,-11,1,0.92045,174.806,edge,85.9561,59.8713,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y+02,-11,2,0.93169,169.695,edge,86.5807,59.6031,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y+03,-11,3,0.95015,164.745,edge,86.9572,60.1312,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-11_Y+04,-11,4,0.97539,160.017,edge,87.2233,60.0808,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y-06,-10,-6,0.97183,-149.036,edge,84.2967,60.4649,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y-05,-10,-5,0.93169,-153.435,edge,85.0697,60.5243,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y-04,-10,-4,0.89753,-158.199,edge,84.4324,60.2692,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y-03,-10,-3,0.87003,-163.301,edge,84.264,60.5488,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y-02,-10,-2,0.84984,-168.69,edge,84.2161,60.9958,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y-01,-10,-1,0.83749,-174.289,edge,84.8554,60.4118,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+00,-10,0,0.83333,180.0,edge,84.8556,60.6989,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+01,-10,1,0.83749,174.289,edge,85.7705,60.4002,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+02,-10,2,0.84984,168.69,edge,86.3563,59.8376,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+03,-10,3,0.87003,163.301,edge,85.9648,60.3437,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+04,-10,4,0.89753,158.199,edge,85.4849,59.7474,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+05,-10,5,0.93169,153.435,edge,86.0743,60.4188,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-10_Y+06,-10,6,0.97183,149.036,edge,86.4412,60.0858,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-07,-9,-7,0.95015,-142.125,edge,83.9437,60.7332,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-06,-9,-6,0.90139,-146.31,edge,83.3955,60.9747,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-05,-9,-5,0.85797,-150.945,edge,84.0353,60.8301,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-04,-9,-4,0.82074,-156.038,edge,82.8934,60.7494,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-03,-9,-3,0.79057,-161.565,middle,84.3865,60.6045,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-02,-9,-2,0.7683,-167.471,middle,85.1066,60.0675,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y-01,-9,-1,0.75462,-173.66,middle,85.4494,60.6132,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+00,-9,0,0.75,180.0,middle,85.153,60.7798,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+01,-9,1,0.75462,173.66,middle,85.4817,60.2012,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+02,-9,2,0.7683,167.471,middle,85.4162,60.5215,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+03,-9,3,0.79057,161.565,middle,85.315,59.9888,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+04,-9,4,0.82074,156.038,edge,85.8697,60.1203,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+05,-9,5,0.85797,150.945,edge,85.228,60.4346,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+06,-9,6,0.90139,146.31,edge,86.0707,59.8324,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-09_Y+07,-9,7,0.95015,142.125,edge,86.1278,60.1182,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-08_Y-08,-8,-8,0.94281,-135.0,edge,83.2669,60.9851,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-08_Y-07,-8,-7,0.88585,-138.814,edge,82.88,60.9695,etch_gradient+local_defect
LOT-ETCH-GRAD,WAFER-ETCH-003,X-08_Y-06,-8,-6,0.83333,-143.13,edge,83.7416,60.7744,etch_gradient+local_defect
